keyword,category,scores.pain,scores.wtp,scores.discovery,scores.buildSpeed,scores.subtotal,autoSkipped
"personal trainer client tracker",fitness,5,5,3,5,18,false
"gym membership tracker",fitness,5,5,3,5,18,false
"exercise log",fitness,5,5,3,5,18,false
"fitness client management",fitness,5,5,3,4,17,false
"workout planner",fitness,5,5,2,5,17,false
"fitness class booking",fitness,5,5,3,2,15,false
"gym class scheduler",fitness,3,2,3,3,11,false
"pt session tracker",fitness,5,1,3,2,11,false
"beauty inventory",hair beauty,5,5,4,4,18,false
"hair color formula",hair beauty,5,5,3,4,17,false
"salon booking app",hair beauty,5,5,3,3,16,false
"hairdresser appointment",hair beauty,5,5,3,3,16,false
"salon price list",hair beauty,5,5,3,3,16,false
"salon client tracker",hair beauty,4,4,3,3,14,false
"beauty salon manager",hair beauty,1,2,3,4,10,false
"nail tech booking",hair beauty,1,3,3,3,10,false
"moving checklist app",home organization,5,5,3,5,18,false
"home inventory app",home organization,5,5,3,4,17,false
"pantry tracker",home organization,5,5,3,4,17,false
"garage sale tracker",home organization,5,5,3,4,17,false
"home warranty tracker",home organization,5,5,3,4,17,false
"declutter checklist",home organization,5,5,3,3,16,false
"home maintenance schedule",home organization,5,5,3,3,16,false
"home cleaning schedule",home organization,5,5,3,3,16,false
"bar stock tracker",hospitality,5,5,4,4,18,false
"tip calculator",hospitality,5,5,3,5,18,false
"kitchen prep list",hospitality,5,5,3,5,18,false
"restaurant inventory",hospitality,5,5,3,4,17,false
"menu planner restaurant",hospitality,5,5,3,4,17,false
"cafe order tracker",hospitality,5,5,3,4,17,false
"hospitality roster",hospitality,5,5,3,4,17,false
"food cost calculator",hospitality,2,4,3,5,14,false
"dog grooming checklist",pet care,5,5,3,5,18,false
"pet sitting app",pet care,5,5,3,4,17,false
"pet grooming scheduler",pet care,5,5,3,3,16,false
"pet vaccination tracker",pet care,5,5,3,3,16,false
"dog walker tracker",pet care,5,3,3,4,15,false
"vet visit tracker",pet care,5,5,3,2,15,false
"pet business management",pet care,5,5,3,1,14,false
"kennel booking",pet care,2,1,3,3,9,false
"invoice generator",professional services,5,5,3,5,18,false
"mileage tracker",professional services,5,5,3,5,18,false
"client intake form",professional services,5,5,3,4,17,false
"expense receipt scanner",professional services,5,5,3,4,17,false
"consultant time tracker",professional services,5,5,3,4,17,false
"freelance project tracker",professional services,5,5,3,4,17,false
"appointment reminder",professional services,5,5,3,3,16,false
"meeting notes app",professional services,5,5,2,4,16,false
"stock count app",retail,5,5,3,5,18,false
"small shop inventory",retail,5,5,3,4,17,false
"barcode scanner inventory",retail,5,5,3,4,17,false
"shop cash register",retail,5,5,3,4,17,false
"product label maker",retail,5,5,3,4,17,false
"retail margin calculator",retail,3,5,3,5,16,false
"retail price tag maker",retail,2,4,3,4,13,false
"wholesale price calculator",retail,1,3,3,5,12,false
"builder daily log",tradies,5,5,3,5,18,false
"tradie invoice",tradies,5,5,3,4,17,false
"tradie timesheet",tradies,5,5,3,4,17,false
"trade job estimator",tradies,5,5,3,4,17,false
"site diary app",tradies,5,5,3,4,17,false
"plumber schedule",tradies,5,4,3,3,15,false
"electrician job management",tradies,5,4,3,3,15,false
"tradie quote app",tradies,5,2,3,4,14,false
"tradie job tracker",tradies,3,1,3,4,11,false